name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A01	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A02	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A03	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A04	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A05	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A06	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A07	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A08	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A09	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A17	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A18	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A19	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A21	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A22	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A23	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A25	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A26	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A27	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A28	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A29	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A30	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A31	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A32	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A33	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A34	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A35	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A36	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A37	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A38	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A40	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A41	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A42	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A43	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A44	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A45	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A46	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A47	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A48	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A49	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A50	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A51	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A52	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B01	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B02	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B03	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B04	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B05	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B06	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B07	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B08	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B09	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
